Name,Gender,Kin?,BirthYear,DeathYear,BirthPlace,Smallest Birth Place,Birth State,Birth Country
Isaac All,M,Y,,1789,"Newport, Rhode Island, America",Newport,Rhode Island,America
Isaac Garrigues,M,N,1741,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Isaac Hunt,M,N,1742,1809,"Bridgetown, Barbados",Bridgetown,,Barbados
Isaac Norris,M,N,1701,1766,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Isaac Sanders,M,N,,,,,,
"Isaac Smith, Jr.",M,N,1749,1829,"Boston, Massachusetts, America",Boston,Massachusetts,America
Isaac Winn,M,N,,,,,,
Israel Gilpin,M,N,1740,1834,"Pennsylvania, America",,Pennsylvania,America
Israel Pemberton,M,N,1715,1779,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Israel Wilkes,M,N,,1805,"London, Greater London, England",London,Greater London,England
J. Cook and Co.,G,N,,,,,,
J. Warner Phipps,M,N,,,"London, Greater London, England",London,Greater London,England
"Jacob Duché, Jr.",M,N,1737,1798,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Jacob Franks,M,N,1747,1814,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Jacobus Van Zandt,M,N,,,,,,
Jacques Barbeu-Dubourg,M,N,1709,1779,"Mayenne, Pays de la Loire, France",Mayenne,Pays de la Loire,France
James Balfour,M,N,,,,,,
James Boswell,M,N,1740,1795,"Edinburgh, Scotland",Edinburgh,,Scotland
James Bowdoin,M,N,1726,1790,"Boston, Massachusetts, America",Boston,Massachusetts,America
James Brown,M,N,1721,1780,"London, Greater London, England",London,Greater London,England
James Burrow,M,N,1701,1782,England,,,England
James Buttall,M,N,,,England,,,England
James Dagge,M,N,,,,,,
James Des Cotes & Company,G,N,,,,,,
James Douglas,M,N,1702,1768,"Edinburgh, Scotland",Edinburgh,,Scotland
James Elphinston,M,N,1721,1809,"Edinburgh, Scotland",Edinburgh,,Scotland
James Ferguson,M,N,1710,1776,"Banffshire, Scotland",,Banffshire,Scotland
James Gambier,M,N,1723,1789,England,,,England
James Habersham,M,N,1712,1775,"Beverly, Yorkshire, England",Beverly,Yorkshire,England
James Hamilton,M,N,1710,1783,"Accomac, Virginia, America",Accomac,Virginia,America
James Hunter,M,N,,,,,,
James Hutton,M,N,1715,1795,,,,
James Jay,M,N,1732,1815,"New York City, New York, America",New York City,New York,America
James Johnson,M,N,1705,1774,"Medford, Suffolk, England",Medford,Suffolk,England
James Kinsey,M,N,1731,1803,,,,
James Lind,M,N,1716,1794,"Edinburgh, Scotland",Edinburgh,,Scotland
"James Logan, Jr.",M,N,1728,1803,,,,
James Lyon,M,N,1735,1794,"New Jersey, America",,New Jersey,America
James Overall,M,N,,,England,,,England
James Parker (1714-1770),M,N,1714,1770,"Woodbridge, New Jersey, America",Woodbridge,New Jersey,America
James Parker (1725-1797),M,N,1725,1797,"Perth Amboy, New Jersey, America",Perth Amboy,New Jersey,America
James Payne,M,N,,,,,,
James Pearson,M,N,1735,1813,,,,
James Pemberton,M,N,1723,1809,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
James Read,M,N,1718,1793,,,,
James Short,M,N,1710,1768,"Edinburgh, Scotland",Edinburgh,,Scotland
James West,M,N,1703,1772,"London, Greater London, England",London,Greater London,England
James Wilson,M,N,1742,1798,"Carskerdo, Scotland",Carskerdo,,Scotland
James Wright,M,N,,,,,,
Jane Hogarth,F,N,1709,1789,,,,
Jane Mecom,F,Y,1712,1794,"Boston, Massachusetts, America",Boston,Massachusetts,America
"Jane Mecom, Jr.",F,Y,,,"Boston, Massachusetts, America",Boston,Massachusetts,America
Jane Parker Bedford,F,N,,1831,,,,
Janet Dick,F,N,,1760,"Edinburgh, Scotland",Edinburgh,,Scotland
Jan Ingenhousz,M,N,1730,1799,"Breda, North Brabant, The Netherlands",Breda,North Brabant,The Netherlands
Jared Ingersoll,M,N,1722,1781,"Milford, Connecticut, America",Milford,Connecticut,America
Jean-Baptiste LeRoy,M,N,1720,1800,"Paris, Île-de-France, France",Paris,Île-de-France,France
Jean Chappe d'Auteroche,M,N,1728,1769,"Mauriac, Auvergne, France",Mauriac,Auvergne,France
Jean-Hyacinthe de Magellan,M,N,1723,1790,"Lisbon, Portugal",Lisbon,,Portugal
Jean Nicholas Sébastian Allamand,M,N,1713,1787,,,,
Jeremiah Meyer,M,N,1735,1789,"Tübingen, Baden-Württemberg, Germany",Tübingen,Baden-Württemberg,Germany
Jeremiah Miller,M,N,1719,1797,America,,,America
Johann David Hahn,M,N,1729,1784,"Heidelberg, Baden-Württemberg, Germany",Heidelberg,Baden-Württemberg,Germany
Johann David Michaelis,M,N,1717,1791,Germany,,,Germany
Johann Friedrich Hartmann,M,N,,1800,Germany,,,Germany
Johann Reinhold Forster,M,N,1729,1798,Germany,,,Germany
Johan Rodolphe Valltravers,M,N,1723,1814,"Berne, Switzerland",Berne,,Switzerland
John Alleyne,M,N,,1777,England,,,England
John Almon,M,N,1737,1805,"Liverpool, Merseyside, England",Liverpool,Merseyside,England
John Antill,M,N,1745,1813,"Perth Amboy, New Jersey, America",Perth Amboy,New Jersey,America
John Apthorp,M,N,,1772,England,,,England
John Balfour,M,N,1715,1795,"Edinburgh, Scotland",Edinburgh,,Scotland
John Balfour and Company,M,N,,,,,,
John Bard,M,N,1716,1799,"Burlington, New Jersey, America",Burlington,New Jersey,America
John Bartram,M,N,1699,1777,"Marple, Pennsylvania, America",Marple,Pennsylvania,America
John Baskerville,M,N,1706,1775,"Wolverley, Worcestershire, England",Wolverley,Worcestershire,England
John Beveridge,M,N,1703,1767,,,,
John Blair,M,N,,1782,"Edinburgh, Scotland",Edinburgh,,Scotland
John Borthwick,M,N,,,,,,
John Campbell Loudoun,M,N,1705,1782,"Galston, Ayrshire, England",Galston,Ayrshire,England
John Canton,M,N,1718,1772,Stroud England,Stroud,,England
John Chalmers,M,N,,1800,"Marnoch, Aberdeenshire, Scotland",Marnoch,Aberdeenshire,Scotland
John Cust,M,N,1718,1770,"London, Greater London, England",London,Greater London,England
John Cuthbert,M,N,,1782,"Witton Castle, Durham, England",Witton Castle,Durham,England
John Dagge,M,N,,1786,,,,
John Dickinson,M,N,1732,1808,"Talbot County, Maryland, America",Talbot County,Maryland,America
John Dixon,M,N,,1791,,,,
John Ellicott,M,N,1702,1772,"London, Greater London, England",London,Greater London,England
John Ellis,M,N,1710,1776,Ireland,,,Ireland
John Ewing,M,N,1732,1802,"East Nottingham Cecil County, Maryland, America",East Nottingham Cecil County,Maryland,America
